Domains and Topics,Description,Short description,Unfamiliar,Remember,Understand,Apply,Analyse,Evaluate,Create,N/A
5.1 Interpretation pipeline from sequence qc to application,"This topic focuses on the complete workflow for interpreting pathogen genomic data, spanning from sequence quality control (QC) to the generation of meaningful, actionable insights. It combines theoretical foundations with practical implementation to help learners understand and apply each stage of the interpretation process. Core steps include raw sequence QC, read alignment, variant calling, annotation, and functional interpretation, all of which are essential for transforming raw data into results that can inform diagnostics, surveillance, and research.The theoretical component addresses the principles, rationale, and limitations associated with each analytical step, ensuring learners can critically assess the reliability of genomic outputs. The practical component highlights how these steps are executed using standardised tools, pipelines, and computational workflows to maintain reproducibility and analytical accuracy. Emphasis is placed on pipeline validation, context-specific interpretation, and reporting practices across clinical, public health, and research settings. Together, this topic equips learners with the skills to evaluate and apply genomic interpretation pipelines effectively and responsibly.","Theoretical principles and practical workflows of genomic interpretation pipelines, enabling reliable insights for clinical diagnostics, research, and public health.",,Outline the theoretical principles and key practical steps in a genomic interpretation pipeline from sequence quality control to actionable results. (K),"Explain how concepts such as QC metrics, alignment algorithms, statistical models, and functional annotation underpin practical workflows in genomic data analysis, enabling accurate interpretation and application.(K)",Apply appropriate tools and workflows to interpret genomic data for actionable results for specific data types and applications.(S),"Relate the steps and processes at each stage of the interpretation pipeline, from sequence QC to application, to their impact on the accuracy and reliability of genomic insights.(K)",Critique the design of a genomic interpretation pipeline to determine its robustness and applicability to specific contexts (K),"Design an analytical framework for a genomic interpretation pipeline tailored to specific data types and applications (K,S)",
5.2 Genomic QC metrics interpretation,"This topic focuses on the interpretation of quality control (QC) metrics produced during genomic workflows to assess the reliability, accuracy, and usability of sequencing data. Learners will explore essential QC parameters such as base quality scores, GC content, read length distribution, sequencing depth, and error rates, and how these indicators reflect overall data quality. The topic emphasises how to identify and troubleshoot common issues—such as contamination, low-complexity reads, or uneven coverage—that may compromise downstream analyses. It also addresses the impact of QC metrics on specific applications, including variant calling, genome assembly, metagenomics, and clinical diagnostics. By interpreting QC outputs in the context of intended analyses, learners gain the skills to make informed decisions about data acceptance, reprocessing, or exclusion, ensuring robust and meaningful genomic results.", Interpretation of genomic quality control metrics to assess data reliability and suitability for downstream analyses,,List the essential quality control (QC) metrics used to assess genome sequence data quality.(K),Describe the purpose and importance of genomic QC metrics in evaluating sequencing data quality. (K) .,Apply QC metrics to evaluate the quality of sequencing data and identify potential issues. (S),"Examine genomic data QC metrics to determine patterns, inconsistencies, or potential issues  that could impact genomic workflows and applications.(K)",Review and assess QC reports to ensure data quality meets the requirements of downstream genomic analyses. (K),Design a strategy for interpreting QC metrics to optimise data quality for specific genomic applications. (K),
5.3 Interpretation of speciation and strain typing results,"The topic covers the interpretation of results from microbial speciation and strain typing analyses, which are essential for identifying pathogens and differentiating between strains within the same species. Speciation determines the specific organism present in a sample, while strain typing provides finer resolution, enabling the assessment of genetic relatedness, transmission pathways, and outbreak sources. Learners will explore the principles and outputs of commonly used methods such as MALDI-TOF mass spectrometry, genome sequencing, multilocus sequence typing (MLST), pulsed-field gel electrophoresis (PFGE), and single nucleotide polymorphism (SNP)-based analysis. Emphasis is placed on how to interpret these results in different contexts, such as clinical diagnostics, hospital infection control, food safety, and epidemiological investigations. The topic also addresses the strengths and limitations of each method and the importance of integrating typing results with epidemiological and clinical data to inform public health and research decisions.",Interpreting microbial speciation and strain typing results  to identify and distinguish different species and strains of pathogens.,,Define speciation and strain typing and recall the methods and techniques used for these processes in the context of microbial genomes.(K),Describe how speciation and strain typing reveal microbial diversity and outbreak sources through genetic differences.(K),Use speciation and typing methods to infer microbial identity and relationships (e.g identifying clonal links during outbreaks).(S),"Examine speciation and strain typing outputs to identify patterns or discrepancies in microbial identification or strain differentiation.(K,S)





",Assess the utility of strain typing results for addressing a clinical or epidemiological problem. (K),"Develop a framework for integrating speciation and strain typing results into decision-making for clinical, public health, or research applications. (K)",
5.4 Interpretation of phylogenetic trees in the context of genomic epidemiology,"This topic focuses on interpreting phylogenetic trees to uncover evolutionary relationships and epidemiological patterns within pathogen populations. Learners will develop the skills to analyse tree topology, branch lengths, and clustering to infer routes of transmission, identify outbreak sources, and monitor evolutionary events such as mutation accumulation or the emergence of drug-resistant variants. The topic emphasises how to link phylogenetic findings with epidemiological metadata such as sampling time, location, and host demographics—to enhance interpretation in real-world contexts. By integrating sequence data with outbreak timelines and spatial information, learners will gain the ability to derive meaningful insights that inform public health responses, surveillance strategies, and infectious disease research. The strengths, limitations, and uncertainties inherent in phylogenetic interpretation are also discussed to support critical, informed use of tree-based analyses in genomics.","Interpretation of phylogenetic trees to track transmission, evolution, and outbreak dynamics in pathogen populations.",,Define key terms and recall components used in phylogenetic tree interpretation.(K),Illustrate the significance of phylogenetic tree features in understanding pathogen evolution and transmission.(K),Apply phylogenetic tree interpretations to infer pathogen spread and evolutionary trends.(S),"Examine tree structures to identify genetic relationships, epidemiological clusters, and the source of outbreaks. (KS)",Assess the relevance of phylogenetic tree interpretations for epidemiological conclusions e.g. hypothesised source of an outbreak (K),Develop approaches for integrating phylogenetic tree interpretations with epidemiological metadata. (K) ,
5.5 Genetic relatedness thresholds and typing schemes in genomic epidemiology studies,"This topic focuses on the interpretation of genetic relatedness and typing scheme results to classify microbial isolates and infer their epidemiological relationships. Learners will explore how metrics such as single nucleotide polymorphism (SNP) distances and allele differences in whole-genome or core-genome multilocus sequence typing (wgMLST/cgMLST) are used to define thresholds for identifying clusters of closely related isolates. The topic examines how these quantitative thresholds are applied in genomic epidemiology to determine potential transmission links, delineate outbreak boundaries, and assess population structure. Learners will also consider factors that influence relatedness interpretation such as mutation rates, sampling timeframes, and pathogen diversity and the implications of threshold selection. Emphasis is placed on using typing and relatedness metrics in conjunction with epidemiological data.",Application of genetic thresholds and typing schemes to classify pathogen isolates and identify relatedness in outbreak and surveillance studies.,,Define key terms and recall metrics for assessing genetic relatedness.(K),Explain the concepts of genetic relatedness thresholds and how they inform pathogen clustering.(K),Execute the interpretation of relatedness thresholds to classify microbial clusters. (e.g. using SNP thresholds to identify clusters)(S),Examine relatedness thresholds to detect genetic relationships between isolates and infer transmission chains. (KS),"Assess the suitability of typing schemes and relatedness thresholds for outbreak investigations, ensuring they provide adequate resolution for specific scenarios.(K)","Develop new or improved typing schemes and relatedness thresholds for enhanced genomic epidemiology studies.(K,S)",
5.6 Outbreak investigation using genomics,"This topic explores how genomic data and techniques are applied to investigate infectious disease outbreaks. Learners will examine how whole-genome sequencing and related analyses are used to identify outbreak strains, determine genetic relatedness among cases, and infer transmission pathways. The topic covers key steps in genomic outbreak investigation workflows, including isolate selection, sequencing, phylogenetic and cluster analysis, and integration with epidemiological metadata such as time, place, and person. Emphasis is placed on interpreting genomic findings to support public health action such as confirming outbreaks, identifying sources, guiding control measures, and evaluating the effectiveness of interventions. Learners will also consider practical and ethical challenges, including sampling strategies, turnaround time, data sharing, and communication with stakeholders. Through real-world examples, the topic demonstrates the value of genomics in enhancing outbreak resolution, improving response coordination, and preventing future transmission.","Application of genomic data to identify outbreak strains, trace transmission, and support infectious disease response efforts.",,"Recall terminology and components of genomic data used in outbreak and surveillance studies (e.g. SNP matrices, metadata).(K)",Illustrate the role of genomic data interpretation in identifying outbreak dynamics. (K),Demonstrate how to interpret genomic data for outbreak investigations. (e.g. wgMLST to link cases in an outbreak).(S),"Analyse genomic data from outbreak investigations to identify patterns, common sources, and transmission dynamics of pathogens (K)","Critically evaluate the reliability of genomic surveillance data for public health decisions.(K,S)",Translate genomic outbreak findings to create better methods for integrating data interpretation with public health decision-making. (K),
5.7 Interpretation of genotypic and antimicrobial resistance data,"ThisThis topic focuses on interpreting antimicrobial resistance (AMR) data derived from genomic analyses, with an emphasis on linking genotypic predictions to phenotypic outcomes and public health priorities. Learners will examine how resistance genes, point mutations, and mobile genetic elements are identified through sequencing, and how these features are used to infer resistance to specific antimicrobial agents. The topic also covers methods for validating genotypic predictions against laboratory susceptibility testing and how to interpret discrepancies between genotypic and phenotypic results. Emphasis is placed on the integration of AMR genomic data with clinical, surveillance, and epidemiological information to inform diagnostics, treatment decisions, outbreak investigations, and AMR trend monitoring. Learners will also consider challenges related to resistance databases, gene expression variability, and emerging resistance mechanisms.","Explores the interpretation of genotypic predictions and AMR data to guide diagnostics, treatment, and public health strategies.",,"Define key terms and recall the genetic markers, tools and databases used for predicting antibiotic resistance from microbial genomes (K)",Explain how genomic features are interpreted to predict antibiotic resistance and their relationship to phenotypic resistance. (K),Demonstrate the interpretation of genomic data to predict antibiotic resistance profiles.(S),Compare genotypic predictions with phenotypic resistance data to identify patterns or discrepancies. (KS),Assess the accuracy and limitations of genotypic predictions in determining resistance phenotypes.(K),Develop frameworks for integrating genotypic and phenotypic AMR data into diagnostic or surveillance workflows. (K),
5.8 Genomic reporting standards for pathogen genomics and surveillance,"This topic focuses on the development and application of reporting standards to ensure consistency, accuracy, and transparency in the communication of pathogen genomic data. Learners will explore existing frameworks and guidelines that define how genomic results—such as sequence quality, variant calls, resistance predictions, and phylogenetic relationships—should be documented and shared across clinical, public health, and research contexts. Emphasis is placed on the importance of structured reporting for reproducibility, interoperability, and decision-making. Topics include metadata inclusion, reference genome use, quality thresholds, annotation standards, and integration with laboratory and epidemiological data. Learners will also examine reporting practices that support data sharing across institutions and jurisdictions, enhance the comparability of genomic surveillance outputs, and facilitate real-time responses to public health threats.","Standards and guidelines for consistent, accurate, and transparent reporting of pathogen genomic data.",,State the key principles and terminology of reporting standards for pathogen genomics and surveillance.(K),Discuss guidelines and protocols for genomic reporting in the context of pathogen genomics and surveillance. (K), Apply standard guidelines to compile and report genomic data for pathogen surveillance.(K),Examine genomic reports to ensure compliance with reporting standards  (S). ," Assess the effectiveness of genomic reporting standards for clarity and completeness, identifying areas for improvement.(K)",Formulate or develop new or improved genomic reporting standards and enhance utility of pathogen genomics and surveillance data.(K),
5.9 Genomic and epidemiological data visualisation and presentation,"This topic focuses on the effective visualisation and communication of integrated genomic and epidemiological data. Learners will explore the principles, tools, and techniques used to transform complex datasets such as phylogenies, variant data, transmission timelines, and geographic spread into accessible and informative visual outputs. Emphasis is placed on selecting appropriate visual formats (e.g., phylogenetic trees, heatmaps, temporal plots, geospatial maps, dashboards) based on the data type, target audience, and intended use. The topic also addresses best practices for visual design, clarity, and accessibility to ensure accurate interpretation. Learners will gain the skills to create visualisations that support outbreak investigations, surveillance reporting, research publications, and broader public health communication.",Designing and presenting clear visualisations of integrated genomic and epidemiological data to support analysis and communication.,,Define basic principles and effective methods for visualising and presenting genomic and epidemiological data. (K),"Discuss methods and tools for visualising genomic and epidemiological data, emphasing the importance of clear and effective visualisation in genomic epidemiology. (K)",Implement visualisation techniques to present genomic and epidemiological data clearly and informatively.(S),Examine the visualisations of genomic and epidemiological data.(K),"Assess the effectiveness and clarity of data visualisations, identifying areas for improvement (K)","Design innovative ways to visualise and present genomic and epidemiological data, improving accuracy and clarity. (K,S)",
6. Decision-Making (Clinical and Public Health),"Decision-making integrates clinical and public health perspectives, ensuring genomic insights are applied effectively to guide decisions in clinical care and public health actions. ",,,,,,,,,
6.1 Translational genomics from research to practice,"This topic focuses on bridging the gap between research and real-world applications by translating findings from genomic studies into actionable clinical and public health strategies. It explores how genomic research informs the development of diagnostic tools, therapeutic protocols, and policy frameworks. Learners will study examples of translational genomics, such as integrating resistance markers into clinical research or using genomic findings to refine public health guidelines for infection control.",Explores how genomic research findings are translated into actionable clinical and public health strategies.,,Recall foundational concepts and methodologies that are applied in translating pathogen genomic research into clinical and public health practices (K),Explain how genomic research findings improve patient management and disease surveillance (K),Integrate genomic findings into clinical workflows to guide patient management and disease surveillance. (K),"Analyse genomic research results to identify actionable findings, such as resistance profiles or other insights relevant to infectious disease management. (K)",Assess the relevance of genomic research findings for clinical or public health applications (e.g. use in developing AMR surveillance systems).(K),Translate genomic research findings into actionable policies and guidelines for integrating pathogen genomics nto clinical and public health (K),
6.2 Genomic insights for clinical decision-making in infectious diseases,"This topic emphasises the application of genomic data to improve clinical decision-making for infectious diseases. It covers how genomic insights guide diagnosis, antimicrobial selection, and treatment customisation for individual patients. Learners will also explore examples such as integrating genomic diagnostics into hospital workflows, leveraging personalised medicine, and interpreting AMR profiles to refine therapy plans.","Focuses on using genomic data to guide diagnosis, treatment, and personalised care in infectious diseases.",,List genomic approaches and recall how genomic data identifies pathogens and resistance mechanisms.(K),Explain how pathogen genomic data informs diagnostics and patient management (K),Use pathogen genomic data to inform diagnostics and patient management(S),"Examine sequence results to link genomic profiles with clinical features.(K,S)",Evaluate impact of genomics-informed diagnostics and treatments on the management and outcomes of infectious diseases.(K),Design workflows that incorporate pathogen genomics to inform aspects of patient management. (K),
6.3 Genomic epidemiology for infectious disease control,"This topic focuses on how genomic data is used to inform clinical and public health decision-making in the context of infectious disease control. Case studies illustrate real-world uses of genomic data to improve decisions related to hospital infection control, outbreak containment, and global surveillance efforts. Emphasis is placed on translating genomic findings into actionable insights that support treatment decisions, resource prioritisation, and policy development, ultimately improving health outcomes at both individual and population levels.","Uses genomic data to trace pathogen transmission, investigate outbreaks, and inform public health responses.",,Recall genomic methods used in outbreak investigations.(K),Describe how genomic data helps trace infection sources.(K),Use genomic data to map pathogen transmission in an outbreak (e.g. a healthcare facility).(S),"Analyse genomic clusters to identify epidemiological trends at local or global level.(K,S)",Assess the accuracy of genomic epidemiology approaches in managing outbreaks (K),Develop frameworks and protocols for integrating genomic epidemiology into outbreak management and public health responses. (K),
6.4 Genomic data for public health interventions for infectious diseases,"This topic focuses on using genomic data to design and implement public health interventions for infectious diseases. It highlights the role of genomics in AMR surveillance, outbreak preparedness, and long-term monitoring of pathogen dynamics. Learners will explore how genomic insights inform policies, such as infection control measures and resource allocation, and how they enhance global health strategies.",Covers the use of genomic data to design public health interventions and enhance infectious disease control strategies.,,"Recall genomic indicators relevant to public health interventions, such as resistance genes in priority pathogens monitored in surveillance programs.(K)",Explain the role of genomic data in shaping public health preparedness and interventions (e.g. how genomics informs vaccine development).(K),"Use pathogen genomic insights for public health interventions (e.g. tailor policies and infection control strategies, developing antimicrobial stewardship or vaccination programs). (S)",Examine genomic trends to guide public health responses (e.g. prioritising intervention sites and informing targeted resource allocation).(K),"Measure genomic-based public health programme outcomes, and identify system gaps for continuous improvement.(K)",Building scalable and resource-appropriate systems for genomic and epidemiological surveillance (K),
7. Data Science,"The Data Science in Pathogen Genomics competency framework defines the essential knowledge, skills, and abilities required for professionals working at the intersection of data science and pathogen genomics. It outlines core competencies in data management, computational analysis, machine learning, bioinformatics workflows, and interpretation of genomic data for pathogen surveillance, outbreak response, research and clinical applications.

The framework ensures that individuals can effectively handle large-scale genomic datasets, apply appropriate analytical methods, and generate meaningful insights. It also incorporates competencies in data integrity, reproducibility, automation, and computational efficiency, enabling professionals to make informed decisions and implement best practices in genomic data science.",,,,,,,,,
7.1 Data curation,"Data curation for pathogen genomics involves collecting, validating, standardising, annotating, integrating, documenting, and managing genomic data to ensure its accuracy, consistency, and usability. This process is essential for facilitating meaningful analysis, research, and application of genomic data in understanding pathogens and managing infectious diseases.","Managing and standardising  data to ensure accuracy and usability, supporting meaningful analysis, research, and disease management",,List data curation methods used in pathogen genomics. Recall terminologies used in data curation for pathogen genomics. (K),Explain data curation processes used in pathogen genomics (K). ,"Curate, validate, and standardise pathogen genomic data using quality control and metadata integration tools and protocols. (S)","Analyse curated genomic and linked data to determine its accuracy, consistency, and usability in downstream analysis (K,S)","Evaluate data curation processes and outputs, identifying areas for improvement to enhance data accuracy, reliability, and integration across datasets. (K)","Design and improve data curation methods for use in pathogen genomics ensuring data quality and usability to advance research, enhance clinical diagnostics, and inform public health strategies. (K,S)",
"7.2 Ethical, Legal, and Social Issues (ELSI)","Ethical, Legal, and Social Issues (ELSI) in Data Science for Pathogen Genomics involves addressing the complex and multifaceted concerns that arise when utilising genomic data to study pathogens. Ethical issues include ensuring informed consent, maintaining privacy and confidentiality of genetic information, and preventing misuse of data. Legal considerations involve adhering to regulations and guidelines governing data use, sharing, and storage, while ensuring compliance with international laws and policies. Social issues encompass the impact of genomic data on public health, the potential for stigmatisation or discrimination, and the equitable access to genomic technologies and benefits.","Accountable approaches to sample and data collection, genetic data use, and sharing that complies with laws and regulations while considering the impact on individuals.",,"Identify fundamental ethical, legal, and social issues in pathogen genomics and data sharing. (K)","Describe ethical and legal considerations for data use, sharing, storage, and social implications. (K)"," Ensure ethical data collection, follow legal guidelines for data sharing and storage, and promote equitable access to genomic technologies.(S)","Analyse the impact of ethical, legal, and social issues on pathogen genomics, assessing standards compliance and social implications. (K)","Critique policies on ethical, legal, and social issues in genomic data use balancing issues including rights of the  individual  and public interests. (K,S,A)","Formulate ethical, legal, and social policies for storing and using pathogen genomic data to enhance public trust, prevent misuse, and ensure equitable benefits. (K,S)",
7.3 Data management,"Data management for pathogen genomics involves organising, storing, and handling genomic data related to pathogens to ensure its integrity, accessibility, and security. This includes the processes of data collection, annotation, and curation to maintain high-quality datasets. Effective data management also entails implementing robust storage solutions and backup systems to protect against data loss. It also ensures compliance with legal and ethical standards for data sharing and privacy, and using bioinformatics tools to facilitate data analysis and integration.","Securely organising and storing data, ensuring accuracy, accessibility, and privacy.",,"Recall principles and terminologies of data collection, storage, retrieval and security. (K)","Explain the processes for organising, storing, and handling data. (K)","Utilise data management tools to collect, annotate, curate, store, and back up data (S)","Validate data quality and organisation to meet research, clinical or public health needs. (K)",Evaluate data management strategies in pathogen genomics in various contexts. (K),"Formulate new strategies to enhance data management in genomics to support for research, healthcare, and public health.(K)",
7.4 Sample metadata,"In pathogen genomics, metadata entails the supplementary information that provides context to the genomic data of pathogens. This includes details such as the date and location of sample collection, the host species, clinical data, sequencing technology used, and laboratory methods applied. Metadata helps researchers understand the conditions under which the genomic data was collected, enabling more accurate analyses and interpretations. It aids in tracking the origin and spread of pathogens, comparing data across different studies, and ensuring data quality and reproducibility. Metadata focuses on theoretical knowledge about the concept, structure, and significance of metadata","Supplementary information providing context, including details like collection date, location, methods used. ",,"List key elements of sample metadata required for genomics (e.g., source, collection date, conditions). (K)",Explain the importance of metadata collection in ensuring sample traceability and reproducibility.(K),Apply appropriate methods and standards to record sample metadata systematically.(S),"Review collected sample metadata to identify gaps, inconsistencies, or errors that could affect data interpretation.(K)
",Assess the quality and completeness of metadata collection protocols to ensure they align with best practices and support downstream analyses.(K),"Design a metadata collection framework tailored to specific microbiological, molecular, or genomic studies(K,S)",
7.5 Data sharing,"This topic focuses on the principles, practices, and challenges of sharing genomic data in the context of infectious diseases and pathogen genomics. Data sharing ensures that genomic insights are accessible to researchers, clinicians, and public health stakeholders worldwide, enabling collaborative efforts to combat emerging infectious diseases, antimicrobial resistance (AMR), and outbreaks. It emphasizes the need for interoperability, ethical compliance, and adherence to global data-sharing frameworks. Topics include open-access repositories, data standards, and the integration of metadata with genomic data for effective analysis and application.","Distribution and exchange of data using standardised platforms, protocols and adherence to ELSIs",,List the key platforms and global repositories used for sharing pathogen genomic data. (K),"Explain the standards, protocols, and legal and ethical considerations for data sharing.(K)","Utilise data sharing platforms for standardised data submission and access, ensuring detailed metadata and ethical compliance. (S)",Examine shared genomic datasets to identify trends or gaps (KS),"Critically evaluate data-sharing practices, platforms, and legal frameworks for genomic data, including assessing databases for completeness and ethical compliance. (K, S)",Develop data-sharing frameworks or policies to enhance collaboration and ensure ethical compliance.(K),
7.6 Data repositories and access,"Data repositories and access for pathogen genomics involve the collection, storage, and sharing of genomic data from various pathogens. These repositories provide a centralised location where researchers can submit, retrieve, and analyse genetic sequences. They ensure data is accessible to the global scientific community, facilitating collaboration and advancing research on pathogen evolution, transmission, and control. Effective data management practices, such as standardised formats and secure access protocols, are crucial for maintaining the integrity and usability of the genomic data stored in these repositories.","Centralided systems where information or data is securely stored, managed, and made accessible for users to retrieve, share, and analyse.",,"List data repositories relevant to pathogen genomics, and recall the purpose and basic functions of data repositories in pathogen genomics. (K)","Explain processes of collecting, storing, and accessing data in repositories. (K)",Use data repositories to retrieve pathogen genomic sequences.(S),Analyse the suitability of repositories for storing and providing access to pathogen genomic data. (K),"Evaluate repositories for effectiveness, accessibility, user-friendliness, and the impact of standardised data management in research and healthcare.(K)","Create or improve a data repository to enhance the storage, access, and security of pathogen genomic data.(K,S)",
7.7 Data tools and workflows,"Explores the application of data science principles to pathogen genomics, focusing on advanced computational methods for handling large-scale genomic datasets. It covers key areas such as data processing, AI/ML integration, cloud computing, and workflow automation, enabling researchers to manage, analyse, and visualise genomic data efficiently. Beyond traditional bioinformatics, this theme incorporates broader data science techniques, including machine learning for predictive modelling, scalable cloud-based pipelines, and automated data workflows to enhance reproducibility and efficiency. The emphasis is on leveraging computational tools to optimise pathogen genomic research and support data-driven decision-making in research and public health.","Specialised software to efficiently analyse, process, and visualise large datasets, automating complex tasks. Broader than just genomics, this theme incorporates data science principles, automation, and big data handling, aimed at working with pathogen genomics at scale.",,"Identify commonly used data science tools, programming languages, and workflow management systems for large-scale pathogen genomic data processing. (K)","Explain how data tools and workflows support efficient data handling, automation, and reproducibility in pathogen genomics, from raw data processing to visualisation. (K)","Use data science tools such as Python, R, or cloud-based platforms to clean, integrate, and process pathogen genomic datasets, ensuring reproducibility and efficiency.(K)","Compare and interpret different computational frameworks for pathogen genomic data management by assessing their performance, scalability, and impact on various applications, breaking down their components to identify patterns, strengths, and weaknesses in how they handle genomic data.(K)","Critically assess the effectiveness of data science workflows in pathogen genomics by evaluating automation, data integrity, and computational efficiency, making judgments on their suitability for different applications and justifying the most effective workflow based on these criteria.. (K)"," Optimise a genomic data workflow by integrating and customising  tools to enhance data analysis and interpretation (K,S)",
8. Integrated Skills,"Develops cross-cutting competencies and skills enable professionals to work collaboratively, communicate findings, and engage stakeholders effectively.",,,,,,,,,
8.1 Communication and presentation,"This topic focuses on developing effective verbal, non-verbal, and written communication skills tailored to the context of pathogen genomics. It includes strategies for delivering impactful presentations, engaging diverse audiences, and disseminating complex scientific concepts in accessible formats. Learners will also explore how to adapt communication styles for various audiences.",Covers strategies for effective communication and presentation in pathogen genomics.,,"List the key verbal, non-verbal, and written communication techniques relevant to pathogen genomics. (A)","Describe how to adapt communication styles to effectively convey complex genomic concepts to diverse audiences, including non-specialists. (K)","Apply appropriate communication strategies to deliver clear and accessible pathogen genomics information through presentations, reports, or public engagement activities. (S)","Analyse the effectiveness of different communication formats and approaches in conveying genomic data to varied stakeholders, including public health officials, clinicians, and communities.(K)","Critically assess communication outputs such as presentations, written materials, or visual content for clarity, accuracy, engagement, and suitability for the target audience.(K)","Develop and deliver tailored communication materials or strategies that translate pathogen genomics findings into accessible messages for policy, clinical, research, or public audiences. (K)",
8.2 Equity Diversity and Inclusion,"This topic emphasizes fostering an inclusive and equitable environment in genomics research and public health initiatives. Learners will explore strategies for integrating EDI principles into program design, stakeholder engagement, and team dynamics to ensure diverse perspectives are represented and underserved communities are included in genomics-based research and applications.","Focuses on promoting equity, diversity, and inclusion in pathogen genomics.",,"Identify key principles and terminology related to equity, diversity, and inclusion in the context of genomics research and public health. (A)","Explain the importance of integrating EDI into genomics initiatives to ensure fair representation, accessibility, and relevance across diverse populations and communities. (A)","Apply EDI principles in the design and delivery of genomics programs, stakeholder engagement activities, and team interactions to enhance inclusive participation.(A)","Analyse existing practices in genomics research or public health programs to assess how well they address issues of equity, diversity, and inclusion. (A,K))","Evaluate the impact of EDI strategies on stakeholder engagement, research participation, and the broader social and ethical implications of genomics initiatives. (K)","Design inclusive policies, engagement plans, or capacity-building strategies that embed EDI principles in genomics research, workforce development, and public health practice.(K)",
8.3 Networking and collaboration,"This topic highlights the importance of building professional networks and fostering collaborative relationships in pathogen genomics. Learners will develop skills for establishing partnerships across disciplines, institutions, and geographic boundaries to enhance research, diagnostics, and public health applications. Emphasis is placed on leveraging global networks to address challenges such as AMR and emerging infectious diseases.",Explores strategies for networking and fostering collaboration in genomics.,,Identify key concepts and benefits of professional networking and collaboration in the context of pathogen genomics. (K),"Describe how collaborative relationships across disciplines and regions contribute to advancements in research, diagnostics, and public health responses to infectious diseases. (S)","Apply networking strategies to build partnerships that support pathogen genomics initiatives, including projects addressing antimicrobial resistance and emerging threats. (S)","Analyse the structure and effectiveness of collaborative networks in genomics, considering factors such as disciplinary diversity, geographic scope, and shared goals. (S)","Evaluate the impact of professional networks and collaborations on research outcomes, innovation, and the implementation of public health interventions. (K)","Develop a strategy or action plan to build and sustain collaborative networks or communities of practice that strengthen capacity, resource sharing, and global response to pathogen-related challenges. (K,S)",
8.4 Mentorship and leadership,"This topic focuses on mentorship and leadership skills to support professional development and capacity building in pathogen genomics. Learners will explore how to mentor trainees and early-career professionals, team growth, and lead initiatives that address infectious disease challenges. Leadership principles will include fostering innovation, promoting inclusivity, and driving impactful genomic research and interventions.","Covers mentorship and leadership skills for advancing pathogen genomics capacity.

",,"Identify key principles of effective mentorship and leadership relevant to professional development and capacity building in pathogen genomics.

","Explain how mentorship and inclusive leadership contribute to fostering innovation, supporting team development, and addressing infectious disease challenges through genomic initiatives.(S) (A)

","Apply leadership and mentorship strategies to support trainees, guide early-career professionals, and promote collaborative growth within genomics teams or projects. (S)

","Analyse different mentorship and leadership approaches to determine their effectiveness in advancing team capacity, and impact in pathogen genomics. (K)

","Evaluate the outcomes of mentorship and leadership practices on professional growth, research productivity, and the success of genomics-based public health initiatives. (K)","Design a mentorship or leadership plan that strengthens professional development, promotes innovation, and supports equitable and effective team performance in pathogen genomics. (K,S)",
8.5 Scientific writing and reporting,"This topic combines the principles of scientific writing and effective reporting to communicate pathogen genomics findings to diverse audiences, including researchers, policymakers, public health professionals, and the general public. Learners will explore methods for creating high-quality, structured publications and reports that adhere to agreed standards. Emphasis is placed on ensuring clarity, accuracy, accessibility, and the relevance of genomics data to diagnostics, research, and public health action. Additionally, learners will gain skills in evaluating and improving reporting standards and methods to advance the field of pathogen genomics.",Focuses on scientific writing and reporting for diverse genomics audiences.,,Recall the key components and principles of scientific writing and reporting used to communicate pathogen genomics findings. (K) ,"Explain the importance of clarity, accuracy, accessibility, and structure in communicating genomics data to diverse audiences, including scientists, clinicians, and public health stakeholders. (K)","Apply established guidelines and standards to write structured, high-quality scientific documents and reports relevant to diagnostics, research, and public health applications in pathogen genomics. (K)",Analyse the effectiveness of different scientific writing approaches and formats for communicating complex genomic findings to varied audiences..(K),"Critically evaluate scientific publications and genomic reports for quality, adherence to reporting standards, and the appropriateness of communication for target audiences.(S)","Produce original scientific publications, technical reports, or summaries that clearly and effectively communicate pathogen genomics findings, aligned with best practices and tailored to specific stakeholder needs. (K)

",
8.6 Science engagement,"This topic explores strategies for engaging the public and non-specialist audiences with pathogen genomics research and applications. Learners will examine approaches to effectively communicate the importance of genomic studies in infectious disease management, build public trust, and promote awareness of issues like AMR and genomic surveillance. The topic emphasizes ethical considerations, culturally appropriate messaging, and the role of storytelling in making complex science accessible and impactful.",Focuses on engaging the public and promoting understanding of genomics for infectious disease management.,,Identify key concepts and ethical considerations in public engagement for genomics.(K),Explain the importance of public engagement in supporting genomic research and public health initiatives. (K),"Develop outreach materials to explain genomic concepts to non-specialist audiences. (K,S)",Evaluate public engagement strategies for their effectiveness in building trust and understanding.(K),"Critique public outreach efforts for their inclusivity, cultural relevance, and clarity. (K)","Design an inclusive public engagement strategy to promote understanding and trust in pathogen genomics. (K,S)",
9. Learning and Training,"Essential skills and knowledge required to develop, deliver, and evaluate effective training in pathogen genomics. Emphasizes evidence-based educational practices, adult learning principles, and inclusive training approaches to ensure that learners gain the competencies needed to apply genomics in research, clinical, and public health contexts. By integrating equity, innovation, and reflective practice, it ensures training programs are effective, accessible, and adaptable to diverse learners across different settings.",,,,,,,,,
